age,sex,region,travel_type_long,stars,board1,Cluster
73.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
35.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
41.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
64.0,0,Kanaren,Pauschalreise,3.0,HalfBoard,0
33.0,1,Kanaren,Selbstfahrer,4.0,HalfBoard,1
56.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
75.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
72.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
49.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
57.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
56.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
65.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
80.0,0,Kanaren,Pauschalreise,4.0,AllInclusiveUltra,0
58.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
56.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
52.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
41.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
58.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
34.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
31.0,1,Balearen,Selbstfahrer,4.0,HalfBoard,1
31.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
54.0,0,Balearen,Pauschalreise,3.0,HalfBoard,0
33.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
37.0,1,Kanaren,Pauschalreise,4.0,Breakfast,0
55.0,1,Balearen,Pauschalreise,5.0,HalfBoard,0
60.0,0,Balearen,Pauschalreise,3.0,Breakfast,0
59.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
61.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
72.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
57.0,0,Kanaren,Pauschalreise,3.5,AllInclusive,0
56.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
25.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
51.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
44.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
47.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
19.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
44.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
69.0,1,Kanaren,Pauschalreise,5.0,AllInclusive,0
24.0,1,Balearen,Pauschalreise,5.0,HalfBoard,0
52.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
57.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
61.0,1,Balearen,Pauschalreise,4.0,HalfBoardPlus,0
38.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
28.0,0,Ägäis,Selbstfahrer,5.0,HalfBoard,1
55.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
53.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
52.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
62.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
38.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
43.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
40.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
42.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
65.0,0,Balearen,Pauschalreise,3.0,HalfBoard,0
67.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
50.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
55.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
67.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
49.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
61.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
39.0,1,Kanaren,Pauschalreise,5.0,HalfBoard,0
31.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
66.0,0,Kanaren,Pauschalreise,4.0,Breakfast,0
48.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
23.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
40.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
59.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
33.0,1,Kanaren,Pauschalreise,5.0,Breakfast,0
66.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
45.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
29.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
48.0,0,Ägäis,Pauschalreise,4.0,Breakfast,0
39.0,1,Ägäis,Selbstfahrer,5.0,Breakfast,1
35.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
64.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
55.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
70.0,0,Kanaren,Pauschalreise,4.0,Breakfast,0
66.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
46.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
38.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
44.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
42.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
33.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
41.0,1,Balearen,Pauschalreise,4.0,AllInclusiveUltra,2
44.0,1,Balearen,Pauschalreise,3.0,AllInclusive,0
53.0,1,Balearen,Pauschalreise,3.0,Breakfast,0
39.0,0,Balearen,Pauschalreise,4.0,HalfBoardPlus,0
69.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
64.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
41.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
54.0,0,Kanaren,Pauschalreise,5.0,HalfBoard,0
64.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
63.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
48.0,1,Kanaren,Pauschalreise,5.0,HalfBoard,0
62.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
50.0,0,Kanaren,Pauschalreise,3.5,AllInclusive,0
54.0,1,Balearen,Pauschalreise,4.5,Breakfast,0
35.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
50.0,1,Kanaren,Pauschalreise,4.0,Breakfast,0
61.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
65.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
66.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
75.0,0,Ägäis,Pauschalreise,4.0,AllInclusive,0
53.0,1,Ägäis,Pauschalreise,4.0,Breakfast,0
39.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
58.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
39.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
67.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
67.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
58.0,1,Ägäis,Selbstfahrer,4.0,AllInclusiveUltra,2
61.0,1,Balearen,Pauschalreise,4.5,HalfBoard,0
57.0,0,New York,Pauschalreise,3.5,Breakfast,0
42.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
64.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
70.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
60.0,0,Kanaren,Pauschalreise,4.0,HalfBoardPlus,0
65.0,1,Ägäis,Pauschalreise,5.0,HalfBoard,2
54.0,0,Kanaren,Pauschalreise,5.0,AllInclusive,0
31.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
52.0,0,Kanaren,Pauschalreise,5.0,AllInclusiveUltra,2
19.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
68.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
64.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
34.0,0,Ägäis,Selbstfahrer,4.0,AllInclusive,1
22.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
71.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
51.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
30.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
23.0,0,Balearen,Pauschalreise,4.5,Breakfast,0
34.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,1,Ägäis,Pauschalreise,5.0,FullBoardPlus,2
67.0,0,Kanaren,Pauschalreise,5.0,Breakfast,0
32.0,1,Balearen,Selbstfahrer,4.0,Breakfast,1
47.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
56.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
37.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
18.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
69.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
66.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
70.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
75.0,1,Balearen,Pauschalreise,4.5,HalfBoard,0
26.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
43.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
53.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
41.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
63.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
60.0,1,Balearen,Pauschalreise,3.0,AllInclusive,0
38.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
56.0,0,Balearen,Pauschalreise,4.0,HalfBoardPlus,0
44.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
51.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
