voc_externalratingcommentsid,Overall Negative,Overall Neutral,Overall Positive,Sentence Sentiment,Sentence Positive,Sentence Neutral,Sentence Negative,Target,Assessment,Sentence,Overall Sentiment Score,Document Sentiment
EB0AADD4-9C05-EF11-9F89-000D3AB2FDDD,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Sauber,Dies ist ein standard Text. ,0.62,mixed
47736E77-B705-EF11-9F89-000D3AB03A02,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Hotel,Dies ist ein standard Text. ,0.62,mixed
422F6467-D205-EF11-9F89-000D3AB2FDDD,0.25,0.55,0.22,positive,0.21,0.47,0.34,Hotel, Standard,Dies ist ein standard Text. ,0.62,mixed
DB988011-2A05-EF11-9F89-0022489CFF41,0.25,0.55,0.22,neutral,0.21,0.47,0.34,Zimmer, Hotel,Dies ist ein standard Text. ,0.62,mixed
40AAE860-9BE9-EE11-904C-002248A3DC4F,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Sauber,Dies ist ein standard Text. ,0.62,mixed
7A7A1466-9BE9-EE11-904C-0022489ED1EB,0.25,0.55,0.22,positive,0.21,0.47,0.34,Essen, Gutes,Dies ist ein standard Text. ,0.62,mixed
795C2E2C-B0F4-EE11-A1FD-000D3A6834B4,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
9CD53EDC-27FA-EE11-A1FE-0022489EDBA9,0.25,0.55,0.22,neutral,0.21,0.47,0.34,Hotel, Standard,Dies ist ein standard Text. ,0.62,mixed
A108DF04-A9F4-EE11-A1FD-002248A3D3C7,0.25,0.55,0.22,positive,0.21,0.47,0.34,Zimmer, Standard,Dies ist ein standard Text. ,0.62,mixed
B2FE6914-9BDE-EE11-904C-002248A3D195,0.25,0.55,0.22,neutral,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
6E0A01CC-9AD3-EE11-9079-000D3ADC003D,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
9411ED0E-9CFF-EE11-9F89-000D3ABA505B,0.25,0.55,0.22,positive,0.21,0.47,0.34,Hotel, Gut,Dies ist ein standard Text. ,0.62,mixed
A00A216B-32FA-EE11-A1FE-0022489AE2FC,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
8A321AE5-36FA-EE11-A1FE-0022489AE2FC,0.25,0.55,0.22,neutral,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
87D936EC-38FA-EE11-A1FE-002248A3D195,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Sauber,Dies ist ein standard Text. ,0.62,mixed
0B14EA7A-5ED7-EE11-904C-000D3A67B052,0.25,0.55,0.22,positive,0.21,0.47,0.34,Zimmer, Hotel,Dies ist ein standard Text. ,0.62,mixed
76059157-4B05-EF11-9F89-000D3ABA505B,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
990B0252-D205-EF11-9F89-000D3ADD6772,0.25,0.55,0.22,positive,0.21,0.47,0.34,Zimmer, Sauber,Dies ist ein standard Text. ,0.62,mixed
13296015-1DFA-EE11-A1FE-0022489AE2FC,0.25,0.55,0.22,positive,0.21,0.47,0.34,Standard, Standard,Dies ist ein standard Text. ,0.62,mixed
2B5EA549-D205-EF11-9F89-0022489DE34D,0.1,0.16,0.74,neutral,0.39,0.59,0.02,Ganze,kinderleicht,"Das Ganze ist kinderleicht, erklärt sich von selbst und wurde von uns als sehr angenehm empfunden. ",0.64,mixed
2E63AD08-34FA-EE11-A1FE-0022489AE2FC,0.49,0.17,0.35,positive,0.69,0.29,0.01,Zimmer,ordentlich,Die neuen (Premium) Zimmer sind ordentlich.,-0.14,mixed
16BD248B-1BEF-EE11-904B-002248A3D3C7,0.01,0.06,0.93,positive,0.99,0.01,0,Hotel,tolles,HOTEL: Ein wirklich tolles Hotel mit einem ausgezeichneten Service.,0.92,positive
70C59DF0-1AD9-EE11-904B-002248A3D3C1,0.92,0.06,0.02,neutral,0.02,0.68,0.31,Sachbearbeiterin,unprofessionell,"Zu ersten Mal wurde mir die Name von der Sachbearbeiterin verschwiegen, sagte einfach, das muss ich nicht machen. ",-0.9,negative
83D3D368-22FA-EE11-A1FE-0022489EDBA9,0.65,0.07,0.28,neutral,0.24,0.57,0.19,Zimmer,besser ein normales Zimmer gebucht,"Wir hätten besser ein normales Zimmer gebucht, hätte völlig ausgereicht und wär preislich dann besser gewesen.",-0.37,mixed
5A4F301B-3AFA-EE11-A1FE-002248A3D3C7,0.02,0.24,0.74,positive,0.71,0.27,0.01,Kleiderschrank,großem,"Jeder Wunsch wird einem von den Lippen abgelesen.\nROOM: Die Zimmer waren gut und praktisch eingerichtet mit großem Kleiderschrank, Schreibtisch, Minibar und guten Betten / Matratzen. ",0.72,positive
B7920DA8-23FA-EE11-A1FE-002248A3D195,0.07,0.62,0.31,neutral,0.31,0.62,0.07,Hotel,Nur positive,\nHOTEL: Nur positive,0.24,neutral
2B5EA549-D205-EF11-9F89-0022489DE34D,0.01,0.09,0.9,positive,0.96,0.04,0,Service,guter,"Abwechslungsreiches Essen, sehr gute Auswahl.\nFOOD: Vielfältige Auswahl, guter Service. ",0.89,positive
5A4F301B-3AFA-EE11-A1FE-002248A3D3C7,0.02,0.24,0.74,neutral,0.36,0.63,0.01,Lage,Top,"An drei Abenden gibt es hochwertige Unterhaltungsangebote (Pianist, Sänger).\nLOCATION: Top Lage direkt am Strand von Son Moll. ",0.72,positive
2E63AD08-34FA-EE11-A1FE-0022489AE2FC,0.17,0.26,0.57,neutral,0.02,0.97,0.02,Hotel,klassischer mallorquinischer Bauweise,\nHOTEL: Das Hotel wurde in klassischer mallorquinischer Bauweise erstellt.,0.4,mixed
7B933FF5-3BFA-EE11-A1FE-002248A3DC4F,0,0.01,0.98,positive,0.98,0.01,0,General Manager,professionell,"\nHOTEL: Tolles Hotel all inclusive, alles sehr schön, Freundlich personal, professionell General Manager Mehmet Tas. Ich komme bestimmt wieder.",0.98,positive
87D936EC-38FA-EE11-A1FE-002248A3D195,0.31,0.13,0.56,positive,0.62,0.36,0.02,Urlaubs,verbessert,Das hat sich aber im Verlauf des Urlaubs meiner Meinung nach verbessert.,0.25,mixed
